#*************************************************************************
#*************************************************************************
#   STATISTICS FROM DNS OF TURBULENT CHANNEL FLOW AT RETAU = 999

# References:

# M. Bernardini, S. Pirozzoli, P. Orlandi, "Velocity statistics in turbulent
# channel flow up to Retau=4000" Journal of Fluid Mechanics Volume 742, March 2014, Pages 171-191

#*************************************************************************
#*************************************************************************
#*
#* Date of file: January 07, 2014
#*
# ***********************************
# Wall-normal profiles:
# ***********************************

#        y                y+              U+              u'+             v'+             w'+            u'v'+           omx+'           omz'+          omy'+ 
0.5835740E+00   0.5828391E+03   0.2116787E+02   0.1294650E+01   0.8102899E+00   0.8995106E+00  -0.4074190E+00   0.2989616E-01   0.2833999E-01   0.2815782E-01
0.5910259E+00   0.5902816E+03   0.2120770E+02   0.1284586E+01   0.8055393E+00   0.8929875E+00  -0.4000650E+00   0.2955735E-01   0.2802531E-01   0.2784448E-01
0.5985051E+00   0.5977513E+03   0.2124711E+02   0.1274438E+01   0.8007796E+00   0.8864369E+00  -0.3926725E+00   0.2922104E-01   0.2770910E-01   0.2753467E-01
0.6060113E+00   0.6052480E+03   0.2128610E+02   0.1264165E+01   0.7960196E+00   0.8798484E+00  -0.3852514E+00   0.2888430E-01   0.2740106E-01   0.2722785E-01
0.6135438E+00   0.6127711E+03   0.2132469E+02   0.1253764E+01   0.7912683E+00   0.8732440E+00  -0.3778022E+00   0.2854708E-01   0.2710463E-01   0.2692426E-01
0.6211022E+00   0.6203200E+03   0.2136288E+02   0.1243283E+01   0.7865291E+00   0.8666329E+00  -0.3703421E+00   0.2821539E-01   0.2682134E-01   0.2662324E-01
0.6286860E+00   0.6278942E+03   0.2140063E+02   0.1232783E+01   0.7818004E+00   0.8600102E+00  -0.3628840E+00   0.2788401E-01   0.2653817E-01   0.2632551E-01
0.6362946E+00   0.6354932E+03   0.2143793E+02   0.1222289E+01   0.7770842E+00   0.8533353E+00  -0.3554275E+00   0.2754879E-01   0.2624965E-01   0.2603141E-01
0.6439275E+00   0.6431165E+03   0.2147477E+02   0.1211786E+01   0.7723875E+00   0.8465925E+00  -0.3479545E+00   0.2722385E-01   0.2596060E-01   0.2574063E-01
0.6515843E+00   0.6507637E+03   0.2151114E+02   0.1201246E+01   0.7677159E+00   0.8398160E+00  -0.3404455E+00   0.2691016E-01   0.2567900E-01   0.2545214E-01
0.6592644E+00   0.6584341E+03   0.2154706E+02   0.1190664E+01   0.7630724E+00   0.8330464E+00  -0.3329090E+00   0.2659988E-01   0.2540224E-01   0.2516594E-01
0.6669673E+00   0.6661273E+03   0.2158249E+02   0.1180027E+01   0.7584580E+00   0.8262823E+00  -0.3253423E+00   0.2628981E-01   0.2512680E-01   0.2488320E-01
0.6746926E+00   0.6738428E+03   0.2161742E+02   0.1169328E+01   0.7538730E+00   0.8194929E+00  -0.3177386E+00   0.2597842E-01   0.2486086E-01   0.2460409E-01
0.6824395E+00   0.6815800E+03   0.2165182E+02   0.1158557E+01   0.7493162E+00   0.8126743E+00  -0.3100977E+00   0.2567097E-01   0.2460106E-01   0.2432892E-01
0.6902077E+00   0.6893384E+03   0.2168570E+02   0.1147697E+01   0.7447838E+00   0.8058493E+00  -0.3024276E+00   0.2537196E-01   0.2434349E-01   0.2405759E-01
0.6979966E+00   0.6971176E+03   0.2171901E+02   0.1136769E+01   0.7402766E+00   0.7990294E+00  -0.2947417E+00   0.2507705E-01   0.2408275E-01   0.2378968E-01
0.7058058E+00   0.7049169E+03   0.2175174E+02   0.1125793E+01   0.7358060E+00   0.7922315E+00  -0.2870439E+00   0.2477604E-01   0.2382841E-01   0.2352596E-01
0.7136347E+00   0.7127359E+03   0.2178388E+02   0.1114771E+01   0.7313896E+00   0.7854862E+00  -0.2793252E+00   0.2447213E-01   0.2358115E-01   0.2326685E-01
0.7214827E+00   0.7205740E+03   0.2181544E+02   0.1103743E+01   0.7270411E+00   0.7787880E+00  -0.2715774E+00   0.2417682E-01   0.2333911E-01   0.2301155E-01
0.7293493E+00   0.7284307E+03   0.2184639E+02   0.1092754E+01   0.7227645E+00   0.7721368E+00  -0.2638111E+00   0.2389060E-01   0.2310282E-01   0.2276048E-01
0.7372341E+00   0.7363057E+03   0.2187669E+02   0.1081815E+01   0.7185581E+00   0.7655275E+00  -0.2560470E+00   0.2361138E-01   0.2287425E-01   0.2251399E-01
0.7451366E+00   0.7441981E+03   0.2190633E+02   0.1070918E+01   0.7144151E+00   0.7589792E+00  -0.2482907E+00   0.2334063E-01   0.2265117E-01   0.2227260E-01
0.7530560E+00   0.7521075E+03   0.2193530E+02   0.1060023E+01   0.7103274E+00   0.7525306E+00  -0.2405304E+00   0.2306718E-01   0.2243503E-01   0.2203602E-01
0.7609919E+00   0.7600335E+03   0.2196362E+02   0.1049130E+01   0.7062950E+00   0.7461957E+00  -0.2327618E+00   0.2279319E-01   0.2222112E-01   0.2180433E-01
0.7689438E+00   0.7679754E+03   0.2199128E+02   0.1038273E+01   0.7023284E+00   0.7399814E+00  -0.2249876E+00   0.2252695E-01   0.2201414E-01   0.2157823E-01
0.7769113E+00   0.7759328E+03   0.2201830E+02   0.1027456E+01   0.6984445E+00   0.7338719E+00  -0.2172035E+00   0.2227141E-01   0.2181455E-01   0.2135710E-01
0.7848936E+00   0.7839052E+03   0.2204466E+02   0.1016676E+01   0.6946567E+00   0.7278678E+00  -0.2093976E+00   0.2202612E-01   0.2161404E-01   0.2114070E-01
0.7928905E+00   0.7918918E+03   0.2207032E+02   0.1005958E+01   0.6909678E+00   0.7219971E+00  -0.2015619E+00   0.2178600E-01   0.2142261E-01   0.2092935E-01
0.8009011E+00   0.7998924E+03   0.2209523E+02   0.9953436E+00   0.6873769E+00   0.7162820E+00  -0.1937078E+00   0.2155205E-01   0.2123781E-01   0.2072305E-01
0.8089250E+00   0.8079062E+03   0.2211934E+02   0.9848743E+00   0.6838859E+00   0.7107134E+00  -0.1858559E+00   0.2132415E-01   0.2105056E-01   0.2052230E-01
0.8169617E+00   0.8159328E+03   0.2214262E+02   0.9745992E+00   0.6805021E+00   0.7052761E+00  -0.1780007E+00   0.2110056E-01   0.2087043E-01   0.2032778E-01
0.8250107E+00   0.8239716E+03   0.2216506E+02   0.9645539E+00   0.6772354E+00   0.6999716E+00  -0.1701306E+00   0.2088600E-01   0.2070343E-01   0.2014009E-01
0.8330714E+00   0.8320222E+03   0.2218662E+02   0.9547567E+00   0.6740916E+00   0.6948084E+00  -0.1622552E+00   0.2067825E-01   0.2054852E-01   0.1995872E-01
0.8411433E+00   0.8400839E+03   0.2220732E+02   0.9451961E+00   0.6710696E+00   0.6897973E+00  -0.1543714E+00   0.2047671E-01   0.2039850E-01   0.1978394E-01
0.8492257E+00   0.8481562E+03   0.2222714E+02   0.9358782E+00   0.6681640E+00   0.6849651E+00  -0.1464757E+00   0.2028072E-01   0.2025312E-01   0.1961601E-01
0.8573183E+00   0.8562386E+03   0.2224605E+02   0.9268503E+00   0.6653741E+00   0.6803099E+00  -0.1385758E+00   0.2008799E-01   0.2011438E-01   0.1945470E-01
0.8654205E+00   0.8643306E+03   0.2226402E+02   0.9181530E+00   0.6627083E+00   0.6758086E+00  -0.1306755E+00   0.1990151E-01   0.1997997E-01   0.1930045E-01
0.8735316E+00   0.8724315E+03   0.2228102E+02   0.9097863E+00   0.6601786E+00   0.6714738E+00  -0.1227714E+00   0.1972337E-01   0.1985149E-01   0.1915378E-01
0.8816513E+00   0.8805409E+03   0.2229705E+02   0.9017403E+00   0.6577904E+00   0.6673626E+00  -0.1148678E+00   0.1955743E-01   0.1973613E-01   0.1901515E-01
0.8897788E+00   0.8886582E+03   0.2231209E+02   0.8940402E+00   0.6555415E+00   0.6635240E+00  -0.1069650E+00   0.1940346E-01   0.1963067E-01   0.1888463E-01
0.8979136E+00   0.8967828E+03   0.2232613E+02   0.8867224E+00   0.6534292E+00   0.6599699E+00  -0.9905481E-01   0.1925516E-01   0.1952819E-01   0.1876208E-01
0.9060555E+00   0.9049143E+03   0.2233914E+02   0.8798120E+00   0.6514536E+00   0.6566862E+00  -0.9113615E-01   0.1911141E-01   0.1943415E-01   0.1864790E-01
0.9142035E+00   0.9130521E+03   0.2235112E+02   0.8733379E+00   0.6496217E+00   0.6536462E+00  -0.8321523E-01   0.1897690E-01   0.1934760E-01   0.1854280E-01
0.9223573E+00   0.9211956E+03   0.2236206E+02   0.8673314E+00   0.6479441E+00   0.6508425E+00  -0.7529955E-01   0.1886072E-01   0.1926972E-01   0.1844642E-01
0.9305162E+00   0.9293443E+03   0.2237195E+02   0.8618073E+00   0.6464282E+00   0.6482909E+00  -0.6738786E-01   0.1875800E-01   0.1919938E-01   0.1835871E-01
0.9386798E+00   0.9374976E+03   0.2238079E+02   0.8567775E+00   0.6450794E+00   0.6459989E+00  -0.5946856E-01   0.1866625E-01   0.1913761E-01   0.1828085E-01
0.9468476E+00   0.9456550E+03   0.2238855E+02   0.8522907E+00   0.6439019E+00   0.6439745E+00  -0.5153845E-01   0.1859273E-01   0.1908422E-01   0.1821349E-01
0.9550189E+00   0.9538161E+03   0.2239523E+02   0.8484110E+00   0.6428941E+00   0.6422433E+00  -0.4360076E-01   0.1853447E-01   0.1903459E-01   0.1815567E-01
0.9631932E+00   0.9619801E+03   0.2240080E+02   0.8451835E+00   0.6420484E+00   0.6408399E+00  -0.3565724E-01   0.1848435E-01   0.1899069E-01   0.1810676E-01
0.9713699E+00   0.9701465E+03   0.2240526E+02   0.8426240E+00   0.6413586E+00   0.6397541E+00  -0.2771486E-01   0.1844040E-01   0.1895216E-01   0.1806725E-01
0.9795486E+00   0.9783149E+03   0.2240859E+02   0.8407347E+00   0.6408252E+00   0.6389427E+00  -0.1978237E-01   0.1840790E-01   0.1892006E-01   0.1803713E-01
0.9877287E+00   0.9864847E+03   0.2241080E+02   0.8394985E+00   0.6404576E+00   0.6383833E+00  -0.1186166E-01   0.1838395E-01   0.1889567E-01   0.1801635E-01
0.9959095E+00   0.9946552E+03   0.2241189E+02   0.8388835E+00   0.6402699E+00   0.6380886E+00  -0.3951854E-02   0.1836986E-01   0.1888227E-01   0.1800534E-01
