#*************************************************************************
#*************************************************************************
#   STATISTICS FROM DNS OF TURBULENT CHANNEL FLOW AT RETAU = 999

# References:

# M. Bernardini, S. Pirozzoli, P. Orlandi, "Velocity statistics in turbulent
# channel flow up to Retau=4000" Journal of Fluid Mechanics Volume 742, March 2014, Pages 171-191

#*************************************************************************
#*************************************************************************
#*
#* Date of file: January 07, 2014
#*
# ***********************************
# Wall-normal profiles:
# ***********************************

#        y                y+              U+              u'+             v'+             w'+            u'v'+           omx+'           omz'+          omy'+ 
0.3514910E-01   0.3510483E+02   0.1378391E+02   0.2447751E+01   0.9165359E+00   0.1450530E+01  -0.8631552E+00   0.1500441E+00   0.1564770E+00   0.1527120E+00
0.3733110E-01   0.3728409E+02   0.1395179E+02   0.2409711E+01   0.9361608E+00   0.1453329E+01  -0.8683560E+00   0.1469539E+00   0.1505676E+00   0.1479728E+00
0.3957748E-01   0.3952764E+02   0.1410923E+02   0.2373470E+01   0.9539204E+00   0.1454994E+01  -0.8725671E+00   0.1438351E+00   0.1449876E+00   0.1433707E+00
0.4188824E-01   0.4183548E+02   0.1425752E+02   0.2339162E+01   0.9699223E+00   0.1455670E+01  -0.8759391E+00   0.1406998E+00   0.1397432E+00   0.1389263E+00
0.4426312E-01   0.4420738E+02   0.1439779E+02   0.2306856E+01   0.9842763E+00   0.1455474E+01  -0.8785943E+00   0.1375708E+00   0.1348095E+00   0.1346526E+00
0.4670191E-01   0.4664309E+02   0.1453100E+02   0.2276573E+01   0.9970952E+00   0.1454498E+01  -0.8806447E+00   0.1344638E+00   0.1301854E+00   0.1305582E+00
0.4920459E-01   0.4914262E+02   0.1465805E+02   0.2248287E+01   0.1008489E+01   0.1452819E+01  -0.8821812E+00   0.1313887E+00   0.1258648E+00   0.1266485E+00
0.5177087E-01   0.5170567E+02   0.1477967E+02   0.2221943E+01   0.1018563E+01   0.1450491E+01  -0.8832808E+00   0.1283555E+00   0.1218250E+00   0.1229242E+00
0.5440056E-01   0.5433205E+02   0.1489652E+02   0.2197461E+01   0.1027424E+01   0.1447562E+01  -0.8839937E+00   0.1253742E+00   0.1180386E+00   0.1193818E+00
0.5709362E-01   0.5702171E+02   0.1500917E+02   0.2174745E+01   0.1035178E+01   0.1444087E+01  -0.8843480E+00   0.1224552E+00   0.1144938E+00   0.1160173E+00
0.5984974E-01   0.5977436E+02   0.1511813E+02   0.2153680E+01   0.1041924E+01   0.1440135E+01  -0.8843678E+00   0.1196191E+00   0.1111797E+00   0.1128230E+00
0.6266880E-01   0.6258987E+02   0.1522381E+02   0.2134150E+01   0.1047753E+01   0.1435784E+01  -0.8840861E+00   0.1168534E+00   0.1080798E+00   0.1097926E+00
0.6555063E-01   0.6546807E+02   0.1532661E+02   0.2116035E+01   0.1052752E+01   0.1431096E+01  -0.8835283E+00   0.1141592E+00   0.1051630E+00   0.1069163E+00
0.6849498E-01   0.6840871E+02   0.1542681E+02   0.2099232E+01   0.1056996E+01   0.1426129E+01  -0.8827303E+00   0.1115476E+00   0.1024144E+00   0.1041859E+00
0.7150173E-01   0.7141168E+02   0.1552470E+02   0.2083618E+01   0.1060557E+01   0.1420938E+01  -0.8817113E+00   0.1090155E+00   0.9982260E-01   0.1015926E+00
0.7457054E-01   0.7447662E+02   0.1562049E+02   0.2069080E+01   0.1063501E+01   0.1415557E+01  -0.8804842E+00   0.1065675E+00   0.9737378E-01   0.9912717E-01
0.7770133E-01   0.7760347E+02   0.1571437E+02   0.2055519E+01   0.1065890E+01   0.1410006E+01  -0.8790854E+00   0.1042037E+00   0.9506310E-01   0.9678280E-01
