# Model:              L1_comparison.mph
# Version:            COMSOL 5.5.0.359
# Date:               Nov 8 2021, 19:59
# Dimension:          1
# Nodes:              158
# Expressions:        51
# Description:        Line graph
# cln1x                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.011707355114525116      -4.2750698406663734E-8   -2.665987355742412E-5    -3.8680314256401015E-5   -4.724308361221348E-5    -3.987948248148983E-5    -1.9780911338785073E-5   -9.943017546675631E-6    -4.845511665000769E-6    -1.7730554973844662E-6   -8.401362938089271E-7    -4.350578675432989E-7    -2.818839108009E-7       -2.8395770832220726E-7   -2.325092774256937E-7    -2.417753740153897E-7    -1.7873148090655918E-7   -1.1230044237355234E-7   -1.0862375949543511E-7   -1.4221527205234506E-7   -1.2897972470568108E-7   -1.1121675413335028E-7   -1.214810127846538E-7    -1.0112103933462187E-7   -8.221014141565715E-8    -1.889447193118868E-8    -6.278625463628182E-8    -2.3694102507170963E-8   -9.439429607607043E-9    -5.137234384008545E-9    -3.5085217825396904E-9   -6.169394567343313E-10   -2.5340463177640993E-8   -1.2208757485258572E-8   -6.440282613379714E-9    2.940168101890877E-9     2.5440217683944237E-9    3.905621424980222E-9     8.973011894919894E-9     1.2167722804136281E-8    1.3079093546464589E-8    7.324145337686603E-9     1.4108714347074902E-8    2.6773684629101194E-8    2.4567378178597402E-8    2.809165765306435E-8     2.2085438379735812E-8    1.6360591617533607E-8    -1.0636328397987822E-8   -2.1727988832418195E-8   -3.5105528556103613E-9   -1.9827615114819563E-9
0.030292494942777373      -1.1039179811933197E-7   -6.88904449551703E-5     -9.968278084425397E-5    -1.2170227860048022E-4   -1.0276659837661658E-4   -5.092909643462627E-5    -2.5577190847906037E-5   -1.2450874528440866E-5   -4.554350755413863E-6    -2.1482333006825892E-6   -1.1100460989491115E-6   -7.151674054700728E-7    -7.240537222399277E-7    -5.92825639135591E-7     -6.174058027772067E-7    -4.5701650422668293E-7   -2.881234887988429E-7    -2.771924718917562E-7    -3.6322478918125515E-7   -3.2967026632985477E-7   -2.852615741029815E-7    -3.1354904388298893E-7   -2.6315154923946355E-7   -2.131606561882577E-7    -4.7795776121540474E-8   -1.634212361136213E-7    -6.152517054968906E-8    -2.4392192806782007E-8   -1.3408292733259792E-8   -9.239838949167204E-9    -1.9007412894612245E-9   -6.376267797096695E-8    -3.069602995370011E-8    -1.6041761817588655E-8   7.411707893834576E-9     6.840116354989021E-9     1.0519824947931422E-8    2.3590877844990684E-8    3.2037749292554594E-8    3.4284670998765565E-8    1.9022210137588654E-8    3.6261015899312824E-8    6.881699441383516E-8     6.22480672123879E-8      7.055018897080991E-8     5.548694192720579E-8     4.146740679723676E-8     -2.833145713728022E-8    -5.607743190393013E-8    -9.124046202063378E-9    -5.082771589046443E-9
0.03997156457921183       -1.4550907005571798E-7   -9.083925363161872E-5    -1.312560235760999E-4    -1.602169266924882E-4    -1.3531205679436943E-4   -6.702682998873141E-5    -3.3645910906391515E-5   -1.6369238379100793E-5   -5.986493103043435E-6    -2.81695256467577E-6     -1.4539127799286984E-6   -9.338676076384098E-7    -9.480253815282147E-7    -7.761753665013597E-7    -8.090269224311532E-7    -5.992796229524733E-7    -3.784914213592217E-7    -3.630883033689759E-7    -4.7599836230451424E-7   -4.322006484251451E-7    -3.746750675266477E-7    -4.1319541564801156E-7   -3.4827241938917037E-7   -2.8157651996175004E-7   -6.231225270003076E-8    -2.1630317954092582E-7   -8.133381188310477E-8    -3.21638189290447E-8     -1.777253349797036E-8    -1.230381507901325E-8    -2.718380824464792E-9    -8.288905582808462E-8    -3.988652926749495E-8    -2.0737504361205386E-8   9.64455757890555E-9      9.203583545504776E-9     1.4167223887230373E-8    3.1386629612484865E-8    4.265724137984692E-8     4.5545258081586675E-8    2.5149357540755317E-8    4.767793344919643E-8     9.048814511668856E-8     8.122606357779112E-8     9.161654698071028E-8     7.207030583164261E-8     5.41193442903657E-8      -3.79436782256473E-8     -7.389637878779931E-8    -1.2067397487786524E-8   -6.673953071966307E-9
0.06057076057732287       -2.1999337886602874E-7   -1.3744828489185834E-4   -1.9799847092486162E-4   -2.4157849806825086E-4   -2.0410218942892118E-4   -1.0100076422304543E-4   -5.0648815585783866E-5   -2.46106381137495E-5     -8.996798152895359E-6    -4.211298072737368E-6    -2.168101295715789E-6    -1.3833134652811463E-6   -1.4126557561758937E-6   -1.1564862736438038E-6   -1.207621985560348E-6    -8.959111645096453E-7    -5.680531317311208E-7    -5.415353907011925E-7    -7.106503894177903E-7    -6.458325805341729E-7    -5.621402997592266E-7    -6.24386107489609E-7     -5.311218957310508E-7    -4.27680651067099E-7     -9.197503697946303E-8    -3.299328094762722E-7    -1.237357115809445E-7    -4.8667393670385183E-8   -2.719107526455123E-8    -1.900670000812101E-8    -4.801428699190809E-9    -1.2156073503270156E-7   -5.8439053019023094E-8   -3.003005624058087E-8    1.4175870395448815E-8    1.4523657990589201E-8    2.2396198962039336E-8    4.839837152878683E-8     6.588200838615185E-8     7.000912036631752E-8     3.826944352682041E-8     7.169973530695921E-8     1.360917872550725E-7     1.2012911881663734E-7    1.3404391102565385E-7    1.0549498881516015E-7    8.007079830370836E-8     -5.931330301154104E-8    -1.1165770861947165E-7   -1.8377207375143636E-8   -1.0006745548260764E-8
0.06820253748380628       -2.4750097969139204E-7   -1.5468062877474825E-4   -2.225684271857621E-4    -2.715111987388433E-4    -2.2942334380614157E-4   -1.1348837207516608E-4   -5.68893689062954E-5     -2.7629980096018398E-5   -1.0098998142035938E-5   -4.7178550783283405E-6   -2.426564586095272E-6    -1.5442628107182098E-6   -1.5806105313099543E-6   -1.29394370361513E-6     -1.3520903601269485E-6   -1.0036751696323993E-6   -6.373230075760361E-7    -6.061317949459308E-7    -7.95723296839949E-7     -7.233890350599149E-7    -6.306107618610642E-7    -7.023242088939804E-7    -5.994548187342561E-7    -4.81984619297659E-7     -1.0253632099094126E-7   -3.724088994847217E-7    -1.3953030102214704E-7   -5.476920680504739E-8    -3.072593628009335E-8    -2.155339001768246E-8    -5.692486532669528E-9    -1.3518068936201726E-7   -6.496224716884301E-8    -3.322894677631781E-8    1.5777892523390462E-8    1.659561630756903E-8     2.560724939539163E-8     5.484739136758905E-8     7.470368115462339E-8     7.92462716581848E-8      4.315818246065644E-8     8.05035537003881E-8      1.5280744370091616E-7    1.3402516331845376E-7    1.4892552516533148E-7    1.1722842903175437E-7    8.934642719921141E-8     -6.75480582804391E-8     -1.255917421129568E-7    -2.0730825845295844E-8   -1.1222862863462693E-8
0.09083457177029813       -3.2879223957501217E-7   -2.0566825739836168E-4   -2.9492544039851575E-4   -3.595997668520262E-4    -3.039841320382555E-4    -1.5020143729652395E-4   -7.520687524528982E-5    -3.647468485538702E-5    -1.3325571679350553E-5   -6.187846796322997E-6    -3.1733430003904876E-6   -2.0036942168772993E-6   -2.065245192113104E-6    -1.6905204605122794E-6   -1.7702183594872843E-6   -1.3163972605700557E-6   -8.396592873663665E-7    -7.928254533067244E-7    -1.0420268290249571E-6   -9.482732224301792E-7    -8.305035451763242E-7    -9.324682823971059E-7    -8.039872815446117E-7    -6.435814918280437E-7    -1.3248056277494357E-7   -4.995836148009012E-7    -1.86642466891792E-7     -7.282375156711277E-8    -4.1354272698386E-8      -2.9308921617846656E-8   -8.717883181587979E-9    -1.732998001170316E-7    -8.318234729718996E-8    -4.193239370854456E-8    2.028224216800008E-8     2.3063969417016042E-8    3.5650585096950587E-8    7.444173010979646E-8     1.0156135952636657E-7    1.0719612799506839E-7    5.774526044167485E-8     1.0630314800829966E-7    2.0179997811135433E-7    1.7357406074391547E-7    1.9036952012188882E-7    1.4993745465562791E-7    1.1576486062832874E-7    -9.298747155621882E-8    -1.6673296425424185E-7   -2.7761526351118498E-8   -1.476940941252933E-8
0.09742794185747307       -2.3274127508085755E-7   -2.152969146467628E-4    -3.0728647011530024E-4   -3.742593284877211E-4    -3.1496972473493527E-4   -1.5514412515443994E-4   -7.791539531669571E-5    -3.7790607110926435E-5   -1.379178570439349E-5    -6.427455716093745E-6    -3.286930663228059E-6    -2.090510470103223E-6    -2.15505796400967E-6     -1.7644505391137805E-6   -1.8453165616714491E-6   -1.3716261686131826E-6   -8.710299608959724E-7    -8.27687128775137E-7     -1.0850801003873444E-6   -9.889917736543938E-7    -8.599516688352247E-7    -9.651233523206586E-7    -8.385696722862643E-7    -6.657839207027401E-7    -1.5678153636161204E-7   -5.291366804599129E-7    -1.8944269720858408E-7   -7.465700072531021E-8    -4.154537388196841E-8    -2.9664180201614102E-8   -6.296464633246817E-9    -1.8019879212259163E-7   -8.449908823740198E-8    -4.0579870244401856E-8   2.734381277166973E-8     2.8774373117684792E-8    4.3457472816400075E-8    8.605510044859966E-8     1.1716060636927389E-7    1.226300435239875E-7     6.604778160646072E-8     1.2847485290061547E-7    2.3936489800563745E-7    2.0398904366717875E-7    2.2080707997701886E-7    1.6933762396062262E-7    1.3443413404350034E-7    -1.03510466293903E-7     -1.723567595737594E-7    -2.840073619844309E-8    -1.4105477503929711E-8
0.12713174128509017       1.9796498505414196E-7    -2.5834636727160696E-4   -3.625656144311762E-4    -4.39757217118161E-4     -3.6405657030895086E-4   -1.7728388167100804E-4   -8.997502560518951E-5    -4.363209820668575E-5    -1.585980314954556E-5    -7.481351452872862E-6    -3.7812408590186517E-6   -2.4640920327556954E-6   -2.5491088985301932E-6   -2.0882408493522615E-6   -2.176465875430406E-6    -1.6143061779819304E-6   -1.00944294288702E-6     -9.788989553373918E-7    -1.2738492325398485E-6   -1.1666627340106556E-6   -9.891129716624163E-7    -1.1114929066378818E-6   -9.975043958335987E-7    -7.663280931270767E-7    -2.6498433623483897E-7   -6.650472919962423E-7    -2.010204891002883E-7    -8.193459449256923E-8    -4.186521616674028E-8    -3.1202450077445203E-8   4.7297146101520266E-9    -2.0831786620114596E-7   -8.859959181677842E-8    -3.226478264463759E-8    6.003817936988284E-8     5.7092199367141666E-8    8.081687152000177E-8     1.407154466255197E-7     1.902805247641312E-7     1.9529840420899528E-7    1.0456465285424832E-7    2.2904526406708821E-7    4.085128768823529E-7     3.354760886646629E-7     3.4802776882313585E-7    2.5065864750092365E-7    2.1546564976240938E-7    -1.5234857590542796E-7   -1.9758162644773761E-7   -3.094963359005574E-8    -1.0555521630078307E-8
0.13075620832664128       2.502926295038604E-7     -2.635621742524679E-4    -3.6926466913963975E-4   -4.476877698094819E-4    -3.700005111482749E-4    -1.799709813525616E-4    -9.143045451377923E-5    -4.433507113254453E-5    -1.610849398316506E-5    -7.607061711651226E-6    -3.8395907684395305E-6   -2.5076969665075302E-6   -2.595998384049924E-6    -2.1267030339391908E-6   -2.2160626977665576E-6   -1.6432257994564524E-6   -1.0260030319865385E-6   -9.966901442308418E-7    -1.2962969363876479E-6   -1.187690752043006E-6    -1.0044775131175317E-6   -1.1292688750419472E-6   -1.0172518854918814E-6   -7.786552302087181E-7    -2.780432694843871E-7    -6.819439957234895E-7    -2.023160797757808E-7    -8.271181284370186E-8    -4.184315557173273E-8    -3.138312731125917E-8    6.088391682465217E-9     -2.1141460713877713E-7   -8.88931581256902E-8     -3.099933210468635E-8    6.412705090074336E-8     6.084016809750756E-8     8.562256392433666E-8     1.476494070918794E-7     1.9952369277687115E-7    2.0451958340775105E-7    1.0939016898492193E-7    2.413941918811324E-7     4.2914268185806685E-7    3.5089522816138503E-7    3.6243317919535067E-7    2.598951900339411E-7     2.2500592823973277E-7    -1.5846936963778227E-7   -2.006470522923246E-7    -3.122330326851745E-8    -1.005925885118349E-8
