# Model:              L1_comparison.mph
# Version:            COMSOL 5.5.0.359
# Date:               Nov 8 2021, 19:24
# Dimension:          1
# Nodes:              159
# Expressions:        51
# Description:        Line graph
# cln1x                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.011568457232138498      -2.3724011073181174E-7   -9.35261061180602E-6     2.6652298059711948E-6    -2.340930395898423E-7    -8.029008830498644E-8    1.8520941168485884E-6    1.8835451205698954E-6    -2.4888039852292384E-7   -1.4403085207478886E-6   -4.1513292837113095E-7   -9.861078264517858E-8    1.7853125072843148E-7    2.6503718745045314E-7    -4.260182638483848E-7    -2.728897850490154E-7    -1.8256306622979873E-7   -2.406019006598571E-7    -3.043523625972524E-7    -5.160958714310134E-7    -7.596839185417842E-7    -8.254121243280266E-7    -8.171578876708776E-7    -8.0251746680157E-7      -7.946808480972222E-7    -7.493799822292937E-7    -6.383635099567516E-7    -4.563575965143684E-7    -2.594430152698985E-7    -1.7512167481591794E-8   5.940910396527559E-8     1.606288172966586E-7     2.95489054432314E-7      4.317008676571039E-7     5.132252041810404E-7     5.270919368680808E-7     5.540835493991081E-7     5.95356408836463E-7      5.086962184907055E-7     4.4268632482879263E-7    3.433243969370171E-7     2.7895115369185735E-7    2.316481399493015E-7     1.9606049066586316E-7    1.813715125003763E-7     1.5675123794095674E-7    1.1530970487597911E-7    1.071462908815172E-7     9.880455245552178E-8     1.0243980409024644E-7    1.037162644350308E-7     1.8285532406819445E-6
0.029925186150039598      -6.415965642064815E-7    -2.42897835632875E-5     7.02922778977002E-6      -5.154168145506345E-7    -2.2398136304478162E-7   4.7428386608488835E-6    4.874916112026885E-6     -5.112301456365307E-7    -3.7017544907336328E-6   -1.064631387652696E-6    -2.595582713613191E-7    4.565478816411539E-7     7.101130659227428E-7     -1.0683632983689695E-6   -6.860611096332815E-7    -4.7327865114004323E-7   -6.332326117655111E-7    -8.051070293650169E-7    -1.3587647922950394E-6   -1.9934886034383746E-6   -2.1632124526131724E-6   -2.1408196069821195E-6   -2.1016413090372573E-6   -2.079269382917774E-6    -1.958495999282258E-6    -1.6663923389280245E-6   -1.189686678131315E-6    -6.735380106858907E-7    -4.076652041921731E-8    1.6183620531178597E-7    4.28854877269641E-7      7.859345500884993E-7     1.147234968124185E-6     1.363608666002116E-6     1.3989943042573087E-6    1.4698753621398757E-6    1.5766895836878567E-6    1.3523333154694123E-6    1.1779460468573294E-6    9.153543801731879E-7     7.436322532303776E-7     6.168925245757754E-7     5.205229096741118E-7     4.806389035924963E-7     4.1512604352507226E-7    3.05927269114273E-7      2.8535574385324755E-7    2.6214640064136384E-7    2.7167296887096493E-7    2.7497662417200764E-7    4.834915770698155E-6
0.03951409107645884       -8.665309529999649E-7    -3.2139868505187675E-5   9.375083020483946E-6     -6.1807915502448E-7      -3.070443189573477E-7    6.229204042244832E-6     6.438769038368819E-6     -5.831269264132441E-7    -4.871248765712165E-6    -1.3993703173962745E-6   -3.458294365364545E-7    5.991816822275616E-7     9.546526194881177E-7     -1.3873625472484293E-6   -8.921339728437982E-7    -6.25642385594753E-7     -8.436585332997466E-7    -1.0754357964707853E-6   -1.8106072527941956E-6   -2.6519130258071937E-6   -2.8758124514876314E-6   -2.8455226220203303E-6   -2.7928845538168444E-6   -2.761887849483777E-6    -2.5999264258917253E-6   -2.2108080152969533E-6   -1.57726518588674E-6     -8.91032331148245E-7     -5.0685866637652846E-8   2.1934895069860455E-7    5.755227230740252E-7     1.052723396923641E-6     1.5359995862822553E-6    1.8255102352570564E-6    1.8718984032082137E-6    1.9662263329530215E-6    2.107301581787561E-6     1.8109271317800207E-6    1.5781418948942734E-6    1.2275511055574301E-6    9.97197483909345E-7      8.268121274001242E-7     6.965733611530135E-7     6.426012520525072E-7     5.548305825903903E-7     4.0925592740469804E-7    3.824709140351322E-7     3.506937872822776E-7     3.6335817841178353E-7    3.677216130680699E-7     6.456846298311725E-6
0.05983989622188696       -1.3747255624672644E-6   -4.888846481530627E-5    1.4499341646523434E-5    -7.34287565367733E-7     -5.014395791060298E-7    9.32571992463605E-6      9.756601397696633E-6     -5.863741308484636E-7    -7.3232224305018694E-6   -2.0985379812196805E-6   -5.337324600866547E-7    8.955905056060065E-7     1.5005921020364188E-6    -2.0256850043993063E-6   -1.306620521063613E-6    -9.497654430287787E-7    -1.3019051014115946E-6   -1.6684961987518427E-6   -2.795088219592648E-6    -4.0794794172179905E-6   -4.417876961725604E-6    -4.369676678188608E-6    -4.287037636253077E-6    -4.235395876796392E-6    -3.9820888169943155E-6   -3.381782675797808E-6    -2.409157175078161E-6    -1.3547745237036059E-6   -6.661121078587988E-8    3.5043750949996784E-7    9.01428099035413E-7      1.6425048968726952E-6    2.3944039281887504E-6    2.8451181238058437E-6    2.9142832517241337E-6    3.059503909327651E-6     3.27325917324902E-6      2.8240187573474056E-6    2.4633581877847744E-6    1.919974865132584E-6     1.559486172305188E-6     1.291660106614049E-6     1.0847770640529019E-6    9.988194299422883E-7     8.618147464926569E-7     6.368852575411371E-7     5.975431413938989E-7     5.457696861383864E-7     5.652236938869477E-7     5.718354988941213E-7     1.0012829128620787E-5
0.0674304861919649        -1.5755272708922154E-6   -5.518127509781794E-5    1.6466213881039352E-5    -7.420965893426853E-7    -5.804667934787567E-7    1.0463092476101878E-5    1.0996650310392939E-5    -5.35241648199499E-7     -8.229416656075077E-6    -2.3559945490250734E-6   -6.056701242821961E-7    1.0042002902515892E-6    1.7141514565136991E-6    -2.250774632453665E-6    -1.4535720372340446E-6   -1.0712130314876872E-6   -1.4773177889735193E-6   -1.8970047666881388E-6   -3.172109277308484E-6    -4.623790095322743E-6    -5.004827529639936E-6    -4.949527682670571E-6    -4.855169001184951E-6    -4.794988165772801E-6    -4.506151155606539E-6    -3.825032330330832E-6    -2.723450433020324E-6    -1.5289099507864832E-6   -7.076831872867246E-8    4.0261284567839247E-7    1.0284040152730483E-6    1.8712716328195118E-6    2.727020191247419E-6     3.2401018084210545E-6    3.3175815162516608E-6    3.482226150399318E-6     3.7231431922121622E-6    3.2167427767620444E-6    2.80689303591925E-6      2.189315566959727E-6     1.7781744865962629E-6    1.4722314661739804E-6    1.2350234419331386E-6    1.1363759961148185E-6    9.80264341476747E-7      7.249111429366506E-7     6.810950245963586E-7     6.212100275449811E-7     6.432481286356548E-7     6.50700257066441E-7      1.1382188082565006E-5
0.08974396472141727       -2.2008329633768958E-6   -7.380092351656357E-5    2.241730639549643E-5     -6.519276147113968E-7    -8.332194399867372E-7    1.3746116890651313E-5    1.4645162791918156E-5    -2.1854295613517383E-7   -1.0863135505701336E-5   -3.101234410812335E-6    -8.22753458730184E-7     1.3168513354613145E-6    2.3727066765565687E-6    -2.8702109567724652E-6   -1.860643481971014E-6    -1.4295110557428085E-6   -2.0065773245887572E-6   -2.591088210695761E-6    -4.310195501691778E-6    -6.259433729815021E-6    -6.7654382261806145E-6   -6.687961971002103E-6    -6.557512087791997E-6    -6.469593619223968E-6    -6.0718068094344284E-6   -5.146945048434864E-6    -3.6588819958268615E-6   -2.043831154879403E-6    -7.729834594035328E-8    5.662267298183976E-7     1.4184102986646038E-6    2.570826897750329E-6     3.7430855710191553E-6    4.446390891806752E-6     4.547703987927439E-6     4.7707774228369835E-6    5.091602553388309E-6     4.416941771249648E-6     3.857934100754187E-6     3.0152716215083236E-6    2.448702667129602E-6     2.02521701783023E-6      1.693453300292584E-6     1.555134636669401E-6     1.3405647148317428E-6    9.932693839581235E-7     9.369860612645027E-7     8.512091340524135E-7     8.809977853076523E-7     8.909223054256709E-7     1.5539158521821376E-5
0.09634784071316008       -1.5591766889916672E-6   -7.372377834615753E-5    2.6582770110566314E-5    -1.3638477935182088E-6   -1.93419626528595E-6     1.4510362274288362E-5    1.6428843478932342E-5    -4.315535548538059E-7    -1.1492280260645513E-5   -3.2597131786822584E-6   -4.972467098614327E-7    1.5682252355755157E-6    2.558787288438141E-6     -3.073489182183428E-6    -1.9716393457443863E-6   -1.4608948002978444E-6   -2.060472979136621E-6    -2.6705233894664116E-6   -4.468253140633453E-6    -6.497095755515194E-6    -7.020833190617094E-6    -6.945355620443585E-6    -6.810392363366221E-6    -6.7250900417055725E-6   -6.320543367527348E-6    -5.367100572473582E-6    -3.8257951764053325E-6   -2.1658796111201386E-6   -1.2705836227654992E-7   5.1718685424463E-7       1.4944019563808884E-6    2.8277347389042213E-6    4.190815377944093E-6     4.988226779699495E-6     5.0703958628310446E-6    5.307759231480199E-6     5.668550598656163E-6     4.899796036198209E-6     4.273977060521543E-6     3.338638797486727E-6     2.713153301528952E-6     2.2481957517917406E-6    1.8822439595809418E-6    1.7324568454018358E-6    1.4813187282373338E-6    1.0828874034328616E-6    1.0047130210468244E-6    8.979132716597646E-7     8.819984439365899E-7     9.255106723112648E-7     1.7542218762547783E-5
0.12561456184345754       1.509145912299233E-6     -7.286668474192515E-5    4.5920679502810614E-5    -4.615954296049341E-6    -7.445878361138406E-6    1.7245291056215616E-5    2.4136254198336155E-5    -1.2251162188330786E-6   -1.4320222790518674E-5   -3.984188725871208E-6    1.002111513171613E-6     2.6721018672432114E-6    3.428584326084025E-6     -3.89301770525579E-6     -2.4446176977648254E-6   -1.593779522487903E-6    -2.3045944857886344E-6   -3.0349909890585422E-6   -5.190852275074623E-6    -7.579032741357833E-6    -8.182139972390744E-6    -8.115095307869863E-6    -7.959109843389966E-6    -7.884784994914431E-6    -7.4495987552281395E-6   -6.3672752466797865E-6   -4.586101782582978E-6    -2.7252755341885635E-6   -3.593737977810017E-7    2.8689822351433574E-7    1.8455119903899558E-6    4.023551567498625E-6     6.280479302273887E-6     7.518606547649119E-6     7.5049171431631055E-6    7.805605381997387E-6     8.354037862203854E-6     7.15490512742494E-6      6.219823737565132E-6     4.855453464914396E-6     3.953716231477002E-6     3.294073217934579E-6     2.767224736242155E-6     2.561436354826929E-6     2.1365327915366587E-6    1.5004460013964548E-6    1.3189998774629195E-6    1.1059057357990894E-6    8.749296443682526E-7     1.0743689811242583E-6    2.688547016302645E-5
0.12931946037575567       1.9239054980304654E-6    -7.269778508977367E-5    4.847156810832208E-5     -5.039019268429983E-6    -8.21774878545973E-6     1.7515069827229418E-5    2.508879809148575E-5     -1.3079365324204754E-6   -1.4682872180237566E-5   -4.078495938793288E-6    1.1985746870627412E-6    2.8106526736922574E-6    3.5439839360536456E-6    -3.987225590882673E-6    -2.502273483576491E-6    -1.609874642310228E-6    -2.3361157920321962E-6   -3.0825865565390156E-6   -5.284920770216552E-6    -7.719358133401385E-6    -8.332604513349903E-6    -8.266577580614861E-6    -8.107811311193561E-6    -8.034803819945243E-6    -7.5956589924074155E-6   -6.4967604902913775E-6   -4.684763384645252E-6    -2.7982596659594576E-6   -3.901651665771942E-7    2.562268900504342E-7     1.8916397382645508E-6    4.181644489129189E-6     6.5573724560130444E-6    7.854064189096981E-6     7.826948412174771E-6     8.135652467840066E-6     8.709071982689372E-6     7.453888947364309E-6     6.478113630633163E-6     5.057284564292008E-6     4.1188004896079035E-6    3.433235124041798E-6     2.8849185082373517E-6    2.6714340814393994E-6    2.2231612579548294E-6    1.5556959583856396E-6    1.360443157955893E-6     1.1323542502262141E-6    8.726862049712602E-7     1.092693890609172E-6     2.8122893428430622E-5
