# Model:              HydroFlux_CAD_211205_improved_injector_FINAL.mph
# Version:            COMSOL 5.5.0.359
# Date:               Jan 14 2022, 18:04
# Dimension:          3
# Nodes:              523
# Expressions:        5
# Description:        Velocity field, x component, Turbulence intensity, U+, k+, 
# Length unit:        m
# x                       y                        z                        u (m/s)                  sqrt(2/3*k)/spf.U (1)    uplus (1)                k/u_tau_probe^2 (1)      yplus (1)
0.185                     0.065                    0.08365339025623611      21.423788139136523       0.01382222541092741      29.143227528044484       0.24340161839015723      301.65873864282406
0.185                     0.065                    0.08385164743981088      21.426749172757127       0.014069756056070483     29.147255484069955       0.2522671685634017       292.1246552779207
0.185                     0.065                    0.08146559717169025      21.4224580970802         0.011598593887554324     29.141418243989882       0.17136571092250377      405.5544755426389
0.185                     0.065                    0.08139440393001669      21.42159868172365        0.011532566857802884     29.140249163287894       0.16940661090055772      409.841570063301
0.185                     0.065                    0.08211081368702175      21.422850348571846       0.012296319278804303     29.141951831906034       0.19261029640151395      371.41872982228267
0.185                     0.065                    0.07669683168676969      21.465963487569432       0.00958316476482478      29.20059953748895        0.11746079753205284      621.599011546012
0.185                     0.065                    0.08078241478153796      21.42853754549214        0.011283515686115391     29.14968824494226        0.1622738433513686       431.2537331632216
0.185                     0.065                    0.07526540590160256      21.48183394385314        0.00895145728312478      29.22218845143107        0.10263710927060898      706.5320191130266
0.185                     0.065                    0.07548484548455472      21.47940098061869        0.009051037046345752     29.218878840607413       0.1049096014973187       692.5203382606085
0.185                     0.065                    0.07441530070829976      21.491080626675167       0.008767989648940343     29.234766907659814       0.09855772839931841      735.9598658336229
0.185                     0.065                    0.07397711072018384      21.49535419968082        0.008682334272514932     29.240580338489718       0.09667992665782421      752.9850476983607
0.185                     0.065                    0.06428025302494224      21.39022494309346        0.008606903864381758     29.097570809797514       0.09408032801959505      957.0326554841365
0.185                     0.065                    0.06559024125339426      21.462412360855005       0.00823636053059966      29.19576886547393        0.08673648134057119      981.0931381304445
0.185                     0.065                    0.07213672366931047      21.49127997629996        0.008561944922414397     29.235038087127947       0.09398174365430646      801.1947518367898
0.185                     0.065                    0.06754862938531268      21.481122916676785       0.008253754740069754     29.221221226277212       0.08725515969483724      942.8512204781093
0.185                     0.065                    0.04657224013015091      18.337678139394672       0.030029694869684508     24.9451274854684         0.8417215606569104       311.2626324219299
0.185                     0.065                    0.04710680764525997      18.61782284853494        0.028245055752962715     25.326214198342406       0.7675772373209078       337.7742559655567
0.185                     0.065                    0.04594875829619845      18.179601828256548       0.03121117825663565      24.73009296998621        0.8936471239811942       280.72885728338167
0.185                     0.065                    0.0453368872061827       18.024469281429013       0.03236493087723182      24.51906291872553        0.9446057073764778       253.5478972138522
0.185                     0.065                    0.04774301505263587      18.897724441319294       0.026522049194574706     25.706970194947647       0.6972883222067546       370.24502447739076
0.185                     0.065                    0.047243229552187745     18.67784212620613        0.027876507331177237     25.40785967830517        0.7525051904937452       344.4731297613559
0.185                     0.065                    0.08135002588707085      21.422341406592135       0.011496479954798676     29.14125950747597        0.16835975366602204      411.78576670183793
0.185                     0.065                    0.0659616501864459       21.476847943467927       0.00817667964617575      29.21540589072157        0.08559907836988076      984.6589918041107
0.185                     0.065                    0.06685386948610539      21.480561849884587       0.008205492496689637     29.220457995373447       0.08623322188927457      966.164637546169
0.185                     0.065                    0.04882446445273622      19.1056418621095         0.02504773378819895      25.98980461534896        0.6356818539821292       408.32927515902145
0.185                     0.065                    0.04810513345623563      18.967344642218332       0.02603088484750524      25.80167601177947        0.6766596770543776       382.5394551632037
0.185                     0.065                    0.050485911491138805     19.495597397390384       0.022117134739864996     26.520269293990484       0.5160707899245057       480.0248141000738
0.185                     0.065                    0.05284881917324419      20.165066569585353       0.016923662361392724     27.43096222474479        0.3232707837388157       618.4138719002747
0.185                     0.065                    0.056263066719801406     20.68058895094962        0.013158739893897107     28.13223811294556        0.20555679013072664      745.1369863415873
0.185                     0.065                    0.05471885575665002      20.415829383019304       0.015072958187494927     27.77208012975842        0.26285139813613057      685.9698527942224
0.185                     0.065                    0.057321930183642594     20.855755383320936       0.01189165162086862      28.370520678135215       0.17073111978245625      788.2051750778465
0.185                     0.065                    0.058435144667718764     21.039913035651598       0.0104474776930973       28.621034188073203       0.13411786229152514      837.4456473949814
0.185                     0.065                    0.06275771820702965      21.306567856713674       0.009025009408404483     28.98377032377396        0.10263530390011856      925.8522394927836
0.185                     0.065                    0.05981153543226827      21.144687114165677       0.009800095607229886     28.76356056059642        0.11918961995329956      869.6767417823223
0.185                     0.065                    0.05871429622223642      21.084719706773345       0.01008706990838289      28.681985640859928       0.12555714966125653      850.3859720185169
0.185                     0.065                    0.06595773373858364      21.476831215744877       0.008176638585079131     29.2153831356497         0.08559808529294662      984.6623595374464
0.185                     0.065                    0.06585048609597828      21.47637314533878        0.008175514037560486     29.214760012886252       0.08557089096689949      984.7545880427853
0.185                     0.065                    0.06579080058330512      21.473171327500776       0.008189495054672011     29.21040451304886        0.08583821176499376      983.913023398157
