% Model:              HydroFlux_CAD_211205_improved_injector.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 14 2022, 15:59
% Dimension:          3
% Nodes:              251
% Expressions:        5
% Description:        Velocity field, x component, U+, k+, y+, Turbulent kinetic energy
% Length unit:        m
% x                       y                        z                        u (m/s)                  uplus (1)                k/u_tau_probe^2 (1)      yplus (1)                k (m^2/s^2)
0.185                     0.065                    0.04001613675229952      0.8165804792467652       1.1108115216176353       2.671639210286161E-9     1.2904829493536503       1.4437601309324885E-9
0.185                     0.065                    0.04002083572310334      0.9563723320455514       1.3009733056225683       2.6168480798708195E-9    1.5126439715234292       1.4141508748181797E-9
0.185                     0.065                    0.04002252915076864      1.006750923244071        1.3695043579418698       2.597108625393793E-9     1.5927847320506223       1.4034836270586159E-9
0.185                     0.065                    0.040007509718279266     0.5599311719262545       0.7616860957321401       2.7722996003290408E-9    0.8834325044821153       1.4981572431430316E-9
0.185                     0.065                    0.04000786695511514      0.570558754595538        0.7761430189332352       2.768129630603809E-9     0.9002669193558557       1.4959037816676551E-9
0.185                     0.065                    0.04000862701577825      0.5931701080272997       0.8069017163913694       2.7592580567799144E-9    0.9360900574724874       1.4911095622475144E-9
0.185                     0.065                    0.040013326148848845     0.732966596393984        0.9970698062563632       2.7044238427167955E-9    1.1577528330863036       1.4614770236283237E-9
0.185                     0.065                    0.04000000000000001      0.3365216953346843       0.4577775074869299       2.8599938297774794E-9    0.5299664725531246       1.5455474115845781E-9
0.185                     0.065                    0.04000035729990831      0.3471511397988303       0.4722369633265546       2.8558199936345823E-9    0.5467655803860928       1.5432918606879754E-9
0.185                     0.065                    0.040001117277917615     0.369760003333133        0.5029922737250474       2.8469427264410517E-9    0.5825033819686473       1.5384945645574543E-9
0.185                     0.065                    0.040005816573205503     0.5095611258752825       0.6931666675559464       2.7920654433175073E-9    0.8036695998617679       1.508838751316421E-9
0.185                     0.065                    0.0452386036916769       17.988971098144813       24.470773996824096       0.9493121998621469       248.09095377108625       0.5130105519831692
0.185                     0.065                    0.04521493216917069      17.98042441830523        24.459147769307435       0.9504454699210445       246.79227330155015       0.5136229737960833
0.185                     0.065                    0.044771622190502076     17.820598541917203       24.2417332835874         0.971645596922649        223.5323118780126        0.5250795724332711
0.185                     0.065                    0.04471165367750311      17.7990141164802         24.21237153778001        0.9745096675286959       220.53298243738732       0.5266273229443678
0.185                     0.065                    0.04463595295298852      17.77178018264834        24.175324647426585       0.978123682269978        216.79420999615806       0.5285803450350663
0.185                     0.065                    0.04460092694074463      17.759184280550837       24.158190178099105       0.9797953015113415       215.08193604386153       0.5294836920160091
0.185                     0.065                    0.044173762434619165     17.605836044541963       23.94958736220088        1.0001512661933216       195.05407388393195       0.540484103344515
0.185                     0.065                    0.04408926731218152      17.575564381529585       23.908408185246156       1.004170556910601        191.2705991079808        0.542656137528582
0.185                     0.065                    0.04403361965106154      17.55563936354509        23.881303766137297       1.0068162217668204       188.80938163446152       0.54408586105731
0.185                     0.065                    0.043990178932684185     17.540091623372874       23.860153849677936       1.0088807394337682       186.9046487814028        0.5452015312741826
0.185                     0.065                    0.043578225866173596     17.392945542200525       23.659987954850397       1.0284222029017223       169.53384213369148       0.5557617842254349
0.185                     0.065                    0.04346942676595532      17.354176305210633       23.607249350111253       1.0335714627855526       165.14529629390083       0.5585444564124058
0.185                     0.065                    0.04244088015851406      17.1393931137768         23.315075278163583       0.9750364916907862       116.03100960007448       0.5269120199642009
0.185                     0.065                    0.042651466268188214     17.18331878098435        23.374828282881374       0.98702503849604         125.2368610943718        0.5333906589355871
0.185                     0.065                    0.04267533127107189      17.188298341460502       23.381602083247756       0.9883835400323429       126.30546531841345       0.5341247963701529
0.185                     0.065                    0.0427115618261642       17.195858667391825       23.39188655289298        0.9904458955679477       127.93789916734306       0.5352392981661477
0.185                     0.065                    0.042783732910284415     17.210921048390436       23.412376225107145       0.9945539226664468       131.2266271760544        0.5374592856999315
0.185                     0.065                    0.04299881387950183      17.255826980415534       23.473462704578797       1.0067950479818768       141.32927248151051       0.5440744186939832
0.185                     0.065                    0.04302308303057451      17.26089570400269        23.480357795391768       1.0081761644098373       142.49854532543253       0.5448207772693432
0.185                     0.065                    0.04305730505424628      17.268043701440654       23.490081365955085       1.0101236328433938       144.15774217625932       0.5458731938044027
0.185                     0.065                    0.04312658039917969      17.28251537235857        23.509767482879543       1.014065697886961        147.55421103281492       0.5480034950522406
0.185                     0.065                    0.04334614810953467      17.328401237114168       23.572186985360087       1.0265584174148286       158.6654086610014        0.554754590152138
0.185                     0.065                    0.04337081778514006      17.33355847967535        23.579202490386635       1.027961886021123        159.94784727866823       0.5555130278973927
0.185                     0.065                    0.04340307335208836      17.340302085745556       23.58837595890617        1.0297968695658848       161.63532631852033       0.5565046573332252
0.185                     0.065                    0.04242551922587611      17.13722639122671        23.312127840116805       0.9724298531598763       115.24375575676542       0.5255033863537228
0.185                     0.065                    0.04240128498575329      17.133805258754105       23.307474001990457       0.968317278421603        114.00761626376043       0.5232809412646784
0.185                     0.065                    0.04226513233894556      17.114521544915725       23.28124196233772        0.9452074479941681       107.19368295988056       0.510792334391684
0.185                     0.065                    0.04221413364427377      17.107271083734297       23.271379008199016       0.9365491780726682       104.69720555274642       0.5061133849035252
0.185                     0.065                    0.04219906702981774      17.105126239631623       23.268461331862298       0.9339910412357676       103.96535176739377       0.5047309617228924
0.185                     0.065                    0.042175430927710984     17.101758873666803       23.26388063344213        0.9299777088626201       102.82240837392361       0.5025621474420486
0.185                     0.065                    0.04203744168754158      17.08203720936241        23.237052840601674       0.9065427905415588       96.27330474281263        0.48989786230454174
0.185                     0.065                    0.0419875563893046       17.074881372477094       23.227318605873997       0.8980686646399286       93.95634204026396        0.4853184246790678
0.185                     0.065                    0.041972803073164505     17.07276243281621        23.224436167891774       0.8955622780993182       93.2761468058553         0.48396396748061565
0.185                     0.065                    0.04194974670355185      17.069448566895943       23.219928246702274       0.8916451255831466       92.21769931152198        0.4818471290213445
0.185                     0.065                    0.04180994927427237      17.04929332922201        23.19251065493006        0.8678892857073297       85.91666484398527        0.4690094171186782
0.185                     0.065                    0.041761143968157624     17.042231867010752       23.182904800047307       0.8595937371780048       83.76293430898723        0.46452648312641504
0.185                     0.065                    0.04140207558787482      16.771433559029596       22.814532192343655       0.7599971512833278       66.43025120841018        0.41070425318679465
0.185                     0.065                    0.04141098588919342      16.77814541052301        22.823662464447573       0.7624692327981044       66.84188089982929        0.41204017186836966
0.185                     0.065                    0.041384400602499        16.758120773572397       22.796422531573512       0.7550933033709172       65.61637415738186        0.4080542022080412
0.185                     0.065                    0.041277440973924676     16.67759392392223        22.686880172107013       0.7254154397993138       60.76533706697433        0.39201621473167636
0.185                     0.065                    0.04123570740182356      16.646190349644662       22.644161232560876       0.7138346253548826       58.90636745877702        0.385757915289812
0.185                     0.065                    0.04157624103826147      16.902701568907382       22.993098814370384       0.8083124466423082       74.64272685741574        0.4368139527618551
0.185                     0.065                    0.041586130745368884     16.910160096055805       23.003244805             0.8110556115070754       75.11982329404526        0.4382963655251793
0.185                     0.065                    0.041558780870957025     16.88953484258847        22.975187840903907       0.8034693286124801       73.80329763495007        0.43419672035489504
0.185                     0.065                    0.04145126671830397      16.808492865650134       22.86494474300275        0.7736444188237485       68.7140256097489         0.41807926875595075
0.185                     0.065                    0.041750256290218724     17.03401111358951        23.171721937061022       0.8565745046175596       83.21394138272942        0.4628948827291754
0.185                     0.065                    0.04173303091934099      17.021006286531538       23.154031198548676       0.8517976864575307       82.34850057471007        0.46031347892823876
0.185                     0.065                    0.04162497229702225      16.939458076837894       23.043099461632128       0.8218289522198403       77.00511383276381        0.44411830425783316
0.185                     0.065                    0.04110961852480664      16.33777269004206        22.22461423325845        0.6752786079545583       52.74744537306232        0.36492215254317784
0.185                     0.065                    0.0411155110076447       16.35218634917509        22.244221435537405       0.6770803434648893       53.03068327043946        0.36589581466278065
0.185                     0.065                    0.04112862893261157      16.384274075168047       22.287871040985195       0.6810914244976444       53.6628229469972         0.3680634123139661
0.185                     0.065                    0.041206719874862976     16.575287657442356       22.54771081595934        0.7049703160659029       57.47199919473741        0.3809676216414744
0.185                     0.065                    0.04098353002588         16.02933596798198        21.80504130289603        0.6367269223062594       46.790870233556106       0.3440887306855556
