# Model:              HydroFlux_CAD_211205_improved_sensor2_FINAL_workingfile.mph
# Version:            COMSOL 5.5.0.359
# Date:               Jan 14 2022, 18:04
# Dimension:          3
# Nodes:              472
# Expressions:        5
# Description:        Velocity field, x component, Turbulence intensity, U+, k+, 
# Length unit:        m
# x                       y                        z                        u (m/s)                  sqrt(2/3*k)/spf.U (1)    uplus (1)                k/u_tau_probe^2 (1)      yplus (1)
0.185                     0.065                    0.046284976251694934     18.310200795586674       0.07418878919888898      24.512497140492044       4.963362738547983        106.9275317384281
0.185                     0.065                    0.04611470955633293      17.966164549119384       0.07917561176984818      24.051923954981827       5.442868155625611        99.67543932260655
0.185                     0.065                    0.04633211671927063      18.40545154023157        0.07281157989346318      24.64001259659237        4.830605656970402        108.9804301858509
0.185                     0.065                    0.04724849390099249      20.72412819183876        0.037789519822747475     27.744104978033988       1.6502316803359283       156.6420884680904
0.185                     0.065                    0.04805267662326903      21.443214568202556       0.031228347549641076     28.706770704159336       1.2064269264473677       191.21188287818185
0.185                     0.065                    0.04834204953601584      21.7311773440538         0.02809777326604174      29.092276401143454       1.0030272726809963       205.19131731055634
0.185                     0.065                    0.04858019601050278      21.862129095047393       0.026753568230592096     29.267586025412925       0.9202959224098689       216.39158095893526
0.185                     0.065                    0.05004359049516455      22.657349065310722       0.015154590894708263     30.332174418776717       0.31705968148920777      295.40937096837496
0.185                     0.065                    0.05214579625547217      23.046296909416014       0.011915560805824999     30.85287230859612        0.20278452804557603      393.8386212863364
0.185                     0.065                    0.05254634981639245      23.11160951723207        0.011337459764193111     30.94030854865718        0.1846241906007484       415.8599076931674
0.185                     0.065                    0.08050849053201017      22.76580291212213        0.009895624449864877     30.477365322990106       0.1364379050938225       455.57993378543097
0.185                     0.065                    0.08086638371898651      22.75796066216358        0.010008626253053859     30.46686663256994        0.1394756681579668       440.05143053565575
0.185                     0.065                    0.08149207174568743      22.745663324188328       0.010377933728923946     30.450403762210446       0.1497965436820874       406.26581409010936
0.185                     0.065                    0.08175618117599018      22.742000935502254       0.010619431359511114     30.445500796197294       0.15679878920971463      391.7111795586818
0.185                     0.065                    0.08407716212853542      22.70858699945643        0.012538843186758636     30.400768407900753       0.2179605212267844       285.09219258465896
0.185                     0.065                    0.0838805343075962       22.70966838671669        0.012352579013555404     30.402216098312277       0.21155317926130937      295.1037799729371
0.185                     0.065                    0.08448464073269638      22.7063460033997         0.012916405442619837     30.3977683092101         0.23123867661701722      265.3566034125043
0.185                     0.065                    0.08235785569511596      22.732843479308535       0.011136685345988941     30.433241393841815       0.17230671998364036      361.3766238707702
0.185                     0.065                    0.08458867889123974      22.70506086742628        0.013016926798691908     30.396047853371012       0.23482529945739783      260.545290224492
0.185                     0.065                    0.07782902763342021      22.825931951241685       0.00913158078376366      30.557862140907794       0.11679691562409152      589.316415874088
0.185                     0.065                    0.07674979442978007      22.8616448325679         0.008917324814825324     30.605672206518797       0.11172904574907094      637.9227130501773
0.185                     0.065                    0.07984800980747062      22.780624565873875       0.009712145286757045     30.497207581917962       0.13159645162101333      484.73271699427033
