% Model:              HydroFlux_CAD_211205_improved_sensor2_FINAL_workingfile.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 14 2022, 15:18
% Dimension:          3
% Nodes:              211
% Expressions:        5
% Description:        Velocity field, x component, U+, k+, y+, Turbulent kinetic energy
% Length unit:        m
% x                       y                        z                        u (m/s)                  uplus (1)                k/u_tau_probe^2 (1)      yplus (1)                k (m^2/s^2)
0.185                     0.065                    0.046202289154967845     18.14312550039295        24.288827682062614       5.196226310127647        103.37425530082403       2.8993400813657213
0.185                     0.065                    0.046258181231559774     18.256059507816232       24.44001633176299        5.038822929269353        105.7694872095897        2.8115136658427
0.185                     0.065                    0.046114709556332914     17.966164549119327       24.051923954981753       5.4428681556256935       99.67543932260598        3.03695891197761
0.185                     0.065                    0.04633211671927061      18.405451540231525       24.64001259659231        4.830605656970461        108.98043018585          2.6953346068143826
0.185                     0.065                    0.04668332862827869      19.294110565604974       25.829691074809194       3.6116913954928846       126.0626788948606        2.0152166205822892
0.185                     0.065                    0.04689375286349905      19.826539537942512       26.542472098220184       2.8813941171488686       136.97319312318984       1.6077324110727365
0.185                     0.065                    0.04693458524470804      19.92985626256994        26.680785759837985       2.73968146302419         139.1532071186914        1.528660955439715
0.185                     0.065                    0.04635655792994271      18.467294267934466       24.722803588504533       4.745780115774709        110.12623903229718       2.6480044720523455
0.185                     0.065                    0.04655770657466499      18.976253542917313       25.404164918831995       4.047674654540948        119.7967579840265        2.258482341187798
0.185                     0.065                    0.04698681487864125      20.06201105116406        26.857705932024004       2.5584135616801005       141.9725645042207        1.427518845672934
0.185                     0.065                    0.04724849390099249      20.72412819183876        27.744104978033988       1.6502316803359283       156.6420884680904        0.9207803064720494
0.185                     0.065                    0.046596373192837486     19.074090314217866       25.535142377982407       3.9134784865730956       121.70636220887182       2.183604861776143
0.185                     0.065                    0.048062673916405126     21.453163143745243       28.72008920526506        1.1993998486770925       191.68230139204258       0.6692295229858936
0.185                     0.065                    0.048067174105113256     21.45764140268091        28.726084404912537       1.1962366748456916       191.89434146052557       0.6674645658561718
0.185                     0.065                    0.04806801699174879      21.458480181863774       28.72720730752573        1.1956442114799777       191.9340763651483        0.6671339888796441
0.185                     0.065                    0.04805267662326899      21.44321456820252        28.70677070415929        1.2064269264473906       191.21188287817986       0.673150423850929
0.185                     0.065                    0.04834204953601583      21.73117734405379        29.09227640114344        1.0030272726810063       205.1913173105556        0.5596594529993725
0.185                     0.065                    0.047588720520911135     21.028352991107294       28.15138120648115        1.462470631588336        170.67407145846022       0.8160152131403495
0.185                     0.065                    0.04738987436726209      20.850548176205784       27.913347770065233       1.5722079659494606       162.37337042992442       0.877245389223197
